population	model	experiment	year	tasmax	tasmin	ppt
BH	mpi-esm1-2-hr	ssp245	2043	312.73337	275.13647	127.41170872177463
BH	mpi-esm1-2-hr	ssp245	2044	311.0355	274.2155	514.6235564723611
BH	mpi-esm1-2-hr	ssp245	2045	308.5387	274.99585	736.1650945851118
BH	mpi-esm1-2-hr	ssp245	2046	307.94986	276.0692	792.9029726888738
BH	mpi-esm1-2-hr	ssp245	2047	309.36105	274.8268	716.6686069685953
BH	mpi-esm1-2-hr	ssp245	2048	308.6622	277.1176	1046.7674489132808
BH	mpi-esm1-2-hr	ssp245	2049	312.1779	273.4056	376.5650945424568
BH	mpi-esm1-2-hr	ssp245	2050	313.8719	275.71945	303.92277268110774
BH	mpi-esm1-2-hr	ssp245	2051	308.55142	275.08655	874.9134889338166
BH	mpi-esm1-2-hr	ssp245	2052	310.2499	276.2908	802.1989828557308
BH	mpi-esm1-2-hr	ssp245	2053	309.9267	275.87534	1053.6686455132258
BH	mpi-esm1-2-hr	ssp245	2054	310.50742	273.88284	471.86676128258114
BH	mpi-esm1-2-hr	ssp245	2055	308.41718	275.99722	307.15345524949953
BH	mpi-esm1-2-hr	ssp245	2056	311.46295	276.76462	283.8707339891698
BH	mpi-esm1-2-hr	ssp245	2057	310.44128	274.8197	435.7328592916019
BH	mpi-esm1-2-hr	ssp245	2058	310.77545	274.7916	742.6721686497331
BH	mpi-esm1-2-hr	ssp245	2059	309.0271	277.6986	418.0300563108176
BH	mpi-esm1-2-hr	ssp245	2060	310.6074	273.5801	689.4342256709933
BH	mpi-esm1-2-hr	ssp245	2061	311.04507	272.3084	681.9210824556649
BH	mpi-esm1-2-hr	ssp245	2062	310.01132	273.88675	687.5680921599269
BH	mpi-esm1-2-hr	ssp245	2063	307.6407	272.51147	793.052136094775
BH	mpi-esm1-2-hr	ssp245	2064	309.56723	273.67413	515.422928519547
BH	mpi-esm1-2-hr	ssp245	2065	310.48676	277.58246	611.2878686806653
BH	mpi-esm1-2-hr	ssp245	2066	311.2052	275.33762	684.6786774563952
BH	mpi-esm1-2-hr	ssp245	2067	311.7282	277.47168	539.0191369398963
BH	mpi-esm1-2-hr	ssp245	2068	311.02432	278.11734	370.3575576626463
BH	mpi-esm1-2-hr	ssp245	2069	312.5198	273.5057	641.337026283145
BH	mpi-esm1-2-hr	ssp245	2070	309.62595	277.35895	725.4393581533561
BH	mpi-esm1-2-hr	ssp370	2041	313.73428	275.178	797.1712038502922
BH	mpi-esm1-2-hr	ssp370	2042	309.42014	274.48715	487.9135213062
BH	mpi-esm1-2-hr	ssp370	2043	309.40933	272.59436	822.4787332350388
BH	mpi-esm1-2-hr	ssp370	2044	311.8641	274.51672	550.0615635450231
BH	mpi-esm1-2-hr	ssp370	2045	310.52237	275.51584	738.7482360005379
BH	mpi-esm1-2-hr	ssp370	2046	310.94244	276.0008	594.0335323568434
BH	mpi-esm1-2-hr	ssp370	2047	308.58386	274.46704	665.447227936238
BH	mpi-esm1-2-hr	ssp370	2048	309.7459	273.72134	425.37575173191726
BH	mpi-esm1-2-hr	ssp370	2049	311.5379	274.2782	439.6288558433298
BH	mpi-esm1-2-hr	ssp370	2050	309.7477	276.79953	554.6336737694219
BH	mpi-esm1-2-hr	ssp370	2051	312.0252	276.66492	686.7873785435027
BH	mpi-esm1-2-hr	ssp370	2052	309.8333	274.92233	812.3300449456879
BH	mpi-esm1-2-hr	ssp370	2053	312.91782	276.1534	809.454221144545
BH	mpi-esm1-2-hr	ssp370	2054	310.7775	276.20648	668.9260174054652
BH	mpi-esm1-2-hr	ssp370	2055	306.7888	273.44925	974.8732672305711
BH	mpi-esm1-2-hr	ssp370	2056	309.91147	275.6024	519.7322600288317
BH	mpi-esm1-2-hr	ssp370	2057	308.9801	275.55368	937.9404974228005
BH	mpi-esm1-2-hr	ssp370	2058	309.25027	276.77866	572.539147711359
BH	mpi-esm1-2-hr	ssp370	2059	308.1038	277.63193	733.99815175216645
BH	mpi-esm1-2-hr	ssp370	2060	311.3733	276.52454	515.0185767095536
BH	mpi-esm1-2-hr	ssp370	2061	310.06418	275.6402	573.8933672255366
BH	mpi-esm1-2-hr	ssp370	2062	311.35367	276.24304	706.3884490518793
BH	mpi-esm1-2-hr	ssp370	2063	309.87555	277.30994	631.3495980575681
BH	mpi-esm1-2-hr	ssp370	2064	310.97885	275.8428	865.0069829803948
BH	mpi-esm1-2-hr	ssp370	2065	311.16364	276.73126	343.86433695908636
BH	mpi-esm1-2-hr	ssp370	2066	310.44226	275.32495	536.6564924363047
BH	mpi-esm1-2-hr	ssp370	2067	311.093	277.8798	682.1384084934834
BH	mpi-esm1-2-hr	ssp370	2068	309.91803	277.12683	743.7345346435848
BH	mpi-esm1-2-hr	ssp370	2069	309.3997	275.05243	637.0250087405896
BH	mpi-esm1-2-hr	ssp370	2070	310.30368	276.97366	680.2348501514591
BH	mri-esm2-0	ssp245	2041	310.52185	273.10736000000003	455.51711880834773
BH	mri-esm2-0	ssp245	2042	311.55533	274.29572	779.9807651121093
BH	mri-esm2-0	ssp245	2043	310.6764	277.25232	572.7503290414461
BH	mri-esm2-0	ssp245	2044	310.0443	278.446	418.31069790932816
BH	mri-esm2-0	ssp245	2045	309.43713	276.7755	998.9391270966704
BH	mri-esm2-0	ssp245	2046	312.29517	276.81052	1008.3562498446317
BH	mri-esm2-0	ssp245	2047	308.4533	273.77133	933.211984578505
BH	mri-esm2-0	ssp245	2048	312.78046	272.83023	512.4432787124533
BH	mri-esm2-0	ssp245	2049	310.97806	277.46384	420.907736022491
BH	mri-esm2-0	ssp245	2050	309.56833	275.92148	674.7958935331553
BH	mri-esm2-0	ssp245	2051	308.32596	274.74258	675.8302616653742
BH	mri-esm2-0	ssp245	2052	311.02914	275.82214	459.48716774582863
BH	mri-esm2-0	ssp245	2053	310.427	276.20822	606.6905812360346
BH	mri-esm2-0	ssp245	2054	310.3289	275.97714	760.6438877061009
BH	mri-esm2-0	ssp245	2055	312.06378	276.30524	440.1235649296723
BH	mri-esm2-0	ssp245	2056	308.81296	277.21866	426.3742243638262
BH	mri-esm2-0	ssp245	2057	310.64252	275.7716	899.4898518081754
BH	mri-esm2-0	ssp245	2058	310.49393	276.4811	733.6540019139647
BH	mri-esm2-0	ssp245	2059	310.06766	276.9615	759.0533662587404
BH	mri-esm2-0	ssp245	2060	312.23596	274.9684	113.48161264322698
BH	mri-esm2-0	ssp245	2061	311.68716	276.1478	655.9284767601639
BH	mri-esm2-0	ssp245	2062	310.48636	277.16138	801.9758087117225
BH	mri-esm2-0	ssp245	2063	310.76083	275.65128	482.22557979170233
BH	mri-esm2-0	ssp245	2064	312.18054	276.39322	999.703227021356
BH	mri-esm2-0	ssp245	2065	309.6672	275.53674	806.1225777666524
BH	mri-esm2-0	ssp245	2066	311.6267	276.64517	723.3303378336132
