population	year	tasmax	tasmin	ppt
LV3	1988	297.98200073242185	263.70300045013425	1292.644995689392
LV3	1989	295.4690002441406	262.2540000915527	1587.0720138549805
LV3	1990	297.22200050354	261.1259998321533	1076.9510192871094
LV3	1991	296.4499992370605	264.14100017547605	1312.7580012083054
LV3	1992	297.04100074768064	264.32300033569334	1429.8950083255768
LV3	1993	293.7899993896484	262.1810001373291	2064.601004898548
LV3	1994	297.69800033569334	263.8670000076294	1076.2469863891602
LV3	1995	295.0679992675781	266.59000005722044	2604.9759883880615
LV3	1996	297.4370006561279	266.27900018692014	2697.569025039673
LV3	1997	296.0280002593994	266.5300001144409	1834.1860084533691
LV3	1998	298.1600002288818	265.3000000953674	2634.9819955825806
LV3	1999	295.6870006561279	264.63799991607664	1416.1499948501587
LV3	2000	296.73799934387205	266.7340001106262	1518.7429900169373
LV3	2001	297.23200073242185	265.3889998435974	1683.045001745224
LV3	2002	298.13600006103513	265.2289999961853	1774.9420318603516
LV3	2003	298.1210006713867	266.94099988937376	1732.784963607788
LV3	2004	295.9769996643066	266.2819999694824	1399.0219859480858
LV3	2005	297.94400062561033	267.15	2214.1140157729387
LV3	2006	297.7430004119873	263.95200004577634	1937.4189758300781
LV3	2007	297.27599945068357	266.42400016784666	1019.2949981689453
LV3	2008	297.14200057983396	265.9019998550415	1190.8510174155235
LV3	2009	297.3780006408691	265.52599992752073	1459.0770139694214
LV3	2010	297.67700042724607	266.69099988937376	2295.471997976303
LVTR1	1981	295.7470001220703	265.5020002365112	3159.0400205254555
LVTR1	1982	293.26000061035154	263.1180004119873	2940.2890272140503
LVTR1	1983	292.32399978637693	265.2099999427795	4281.080054283142
LVTR1	1984	295.01800003051756	263.75900020599363	1963.5920176506042
LVTR1	1985	294.11500015258787	263.2870000839233	1255.2049899101257
LVTR1	1986	294.5299991607666	266.41900005340574	2420.3230018615723
LVTR1	1987	295.2479995727539	263.07899990081785	1966.6019911766052
LVTR1	1988	296.5040000915527	264.01299991607664	1660.707005739212
LVTR1	1989	293.8740009307861	261.85499992370603	1955.7360191345215
LVTR1	1990	295.45599975585935	261.4699996948242	1339.1720085144043
LVTR1	1991	294.82300033569334	262.8479999542236	1603.3549799919128
LVTR1	1992	295.58400001525877	263.73500003814695	1958.1129748821259
LVTR1	1993	292.4690002441406	262.3420003890991	2739.7059527635574
LVTR1	1994	295.9779991149902	263.16900005340574	1301.4889888763428
LVTR1	1995	293.54100074768064	265.21099987030027	3213.6310148239136
LVTR1	1996	295.82200088500974	265.689999961853	3591.71803855896
LVTR1	1997	294.58400001525877	265.76499977111814	2436.41300201416
LVTR1	1998	296.6210006713867	263.7549995422363	3479.2859983444214
LVTR1	1999	294.04800071716306	263.8519996643066	1995.3319873809814
LVTR1	2000	295.2239994049072	265.3869999885559	2063.7259781360626
LVTR1	2001	295.8050006866455	264.10899963378904	2302.994993686676
LVTR1	2002	296.4	264.5370000839233	2399.614978790283
LVTR1	2003	296.38999977111814	265.8169998168945	2189.0979537963867
LVTR1	2004	294.24499931335447	265.1170000076294	1872.6070061922073
LVTR1	2005	296.2199996948242	266.21099987030027	3039.559972854331
LVTR1	2006	296.04599990844724	262.6250003814697	2664.6249977350235
LVTR1	2007	295.6609996795654	265.1349996566772	1421.8670082092285
LVTR1	2008	295.5270008087158	264.41900005340574	1663.4970199465752
LVTR1	2009	295.5989994049072	265.11300029754636	1977.1930027008057
LVTR1	2010	295.9610008239746	266.07700004577634	3112.466030359268
SC	1981	308.4509986877441	276.2429999351501	948.6629866408184
SC	1982	306.1220001220703	272.73700001239774	1390.0759915411472
SC	1983	305.8519996643066	274.088000023365	1588.7759823799133
SC	1984	308.80299987792966	273.33899999558923	579.4690020084381
SC	1985	308.8620018005371	273.73899998664854	572.0790083408356
SC	1986	308.02699890136716	275.0590000391006	867.3359801769257
SC	1987	306.57200088500974	273.0489999964833	548.1450033187866
SC	1988	309.69899978637693	274.52899994850156	492.82099962234497
SC	1989	307.0290016174316	273.2140000030398	582.1229908466339
SC	1990	306.73300018310545	271.69100000858305	501.9540056735277
SC	1991	306.4349998474121	273.8240000247955	690.0809976845048
SC	1992	307.0059989929199	273.0079999953508	736.0390124320984
SC	1993	304.69800033569334	274.786999964714	903.3549919128418
SC	1994	306.7650016784668	274.8670000076294	691.90400134027
SC	1995	305.82200088500974	277.56900014877317	1151.4760074615479
SC	1996	307.80299987792966	276.22999992370603	1277.3130100369453
SC	1997	305.5949996948242	274.8459999799728	651.6410132646561
SC	1998	307.14300003051756	272.98400000631807	1322.0089999157935
SC	1999	304.8689998626709	275.2989999294281	715.7449984550476
SC	2000	306.60700073242185	275.9450000762939	999.942016005516
SC	2001	307.3140014648437	275.24400010108945	733.1380025148392
SC	2002	308.3080009460449	274.9219999551773	704.5130081176758
SC	2003	309.4629997253418	275.67600002288816	695.2480028569698
SC	2004	307.01100006103513	275.63600006103513	726.29900598526
SC	2005	309.2520011901855	276.13900008201597	1139.522992439568
SC	2006	309.4960006713867	275.3809999465942	985.4200010299683
SC	2007	306.77599945068357	273.1960000000894	583.1600047945976
SC	2008	307.0590003967285	273.969000005722	542.9970083236694
SC	2009	307.798998260498	274.81799998283384	693.6409962177277
SC	2010	306.6999992370605	276.8349999427795	1217.027006328106
SQ1	1981	300.1830009460449	269.3019999504089	996.7770029286621
SQ1	1982	298.0749992370605	268.49800004959104	2049.892988681793
SQ1	1983	296.69400062561033	268.59000005722044	1967.313971042633
SQ1	1984	298.88500061035154	268.4349998474121	780.586009979248
SQ1	1985	299.8740009307861	268.26100006103513	918.4839949607849
SQ1	1986	299.48799934387205	270.45399990081785	1258.7269996404648
SQ1	1987	299.11500015258787	266.83400001525877	898.4260067939758
SQ1	1988	300.35999908447263	268.5799998283386	812.8170123100281
SQ1	1989	300.14099922180174	266.3390001296997	570.1690106391907
SQ1	1990	299.9389995574951	268.63199987411497	589.7549952566624
SQ1	1991	299.532999420166	266.99000015258787	1002.5660198926926
SQ1	1992	300.286999130249	268.45399990081785	821.9479985237122
SQ1	1993	298.60400047302244	267.4349998474121	1115.329973936081
SQ1	1994	300.57300033569334	266.99800004959104	843.1989892721176
SQ1	1995	299.5550006866455	268.27599992752073	1541.6690031299368
SQ1	1996	300.6210006713867	267.78800001144407	1846.2779841423035
SQ1	1997	298.7619995117187	267.208000087738	1007.6610088348389
SQ1	1998	300.86699905395506	267.6039999961853	1582.9480041861534
SQ1	1999	298.0019992828369	269.30499997138975	638.3189963102341
SQ1	2000	299.74499931335447	269.27899994850156	1123.4919991493225
SQ1	2001	302.0669998168945	266.2249998092651	1159.232000052929
SQ1	2002	301.8689998626709	267.8720001220703	908.3219974935055
SQ1	2003	301.19400062561033	269.5610000133514	999.1779928207397
SQ1	2004	300.0040000915527	267.82700004577634	721.4440003633499
SQ1	2005	302.57300033569334	270.22599997520445	1148.6210136972368
SQ1	2006	301.39600028991697	266.50300016403196	1200.8800020217896
SQ1	2007	301.51800003051756	266.25300016403196	583.7709946632385
SQ1	2008	301.7880004882812	268.90299978256223	852.0680034160614
SQ1	2009	301.3820003509521	268.63799991607664	972.7389938831329
SQ1	2010	299.92400016784666	269.6699999809265	1579.4940052628517
SQ2	1981	298.0389999389648	265.92299976348875	1061.822996608913
SQ2	1982	295.73799934387205	266.0399998664856	2244.642991065979
SQ2	1983	294.45299949645994	265.3720001220703	2125.7959966659546
SQ2	1984	297.0830005645752	265.7949999809265	861.181001663208
SQ2	1985	297.86500015258787	264.9640001296997	988.0009877681732
SQ2	1986	297.30099906921384	267.9450000762939	1324.901035308838
SQ2	1987	296.8179992675781	263.88700046539304	968.5580093860626
SQ2	1988	298.35899963378904	265.9149998664856	919.6649971008301
SQ2	1989	298.2589992523193	262.7489999771118	638.2329966574907
SQ2	1990	297.7579998016357	266.1369999885559	669.2889876365662
SQ2	1991	297.33000030517576	264.29799976348875	1091.6510103940964
SQ2	1992	298.0879997253418	267.04599990844724	950.4810104370117
SQ2	1993	296.3839992523193	264.41500034332273	1220.9609718322754
SQ2	1994	298.528999710083	264.08599987030027	942.8069950044155
SQ2	1995	297.2939990997314	266.4380001068115	1724.8950111418962
SQ2	1996	298.60899963378904	265.92400016784666	2057.592997074127
SQ2	1997	297.24499931335447	263.8670000076294	1083.4849989414215
SQ2	1998	298.9189990997314	264.88799991607664	1703.2779914140701
SQ2	1999	296.5940002441406	266.3409999847412	704.5150105953217
SQ2	2000	297.97900047302244	266.2049998283386	1219.613998837769
SQ2	2001	299.8680004119873	263.14600028991697	1249.8629890680313
SQ2	2002	300.0310005187988	264.5330003738403	982.4760163128376
SQ2	2003	299.6819995880127	266.57399978637693	1109.5019944906235
SQ2	2004	298.0979999542236	264.4640001296997	792.5719912052155
SQ2	2005	300.468000793457	267.1930002212524	1201.6049980698153
SQ2	2006	299.5989994049072	263.57700004577634	1286.7249870300293
SQ2	2007	299.7530006408691	262.70500030517576	620.9020013809204
SQ2	2008	299.70900001525877	265.66700019836424	928.0259990692139
SQ2	2009	299.7390007019043	265.2390002250671	1058.8980110287666
SQ2	2010	298.0959991455078	266.4069999694824	1635.182995557785
SQ3	1981	296.1250003814697	265.01600017547605	1246.5819959430955
SQ3	1982	293.8370002746582	264.35400047302244	2612.304977416992
SQ3	1983	292.49099960327146	264.67499961853025	2453.45196723938
SQ3	1984	295.2519992828369	264.9419998168945	1004.9700012207031
SQ3	1985	295.98399963378904	263.7549995422363	1137.7949850559235
SQ3	1986	295.32600059509275	266.6259998321533	1438.9520177841187
