population	model	scenario	offset	Elevation	Lat	Long
YO4	mri-esm2-0	ssp370	2.7489249097293644	2157.57391	37.76378	-119.77244
YO7	mri-esm2-0	ssp370	1.8950601924180908	2469.978665	37.80903	-119.56605
YO8	mri-esm2-0	ssp370	2.4571149454522434	2590.97836	37.81117	-119.48624
BH	ensemble	ssp245	2.6942763919651846	511.4294422	37.40985	-119.96458
CC	ensemble	ssp245	2.5217676828175857	313	39.58597	-121.43311
CP2	ensemble	ssp245	2.2196501646555795	2244.132886	38.66169	-120.13065
CP3	ensemble	ssp245	2.4448694912153512	2266.382201	38.70649	-120.08797
DPR	ensemble	ssp245	1.6992224477768845	1018.591893	39.22846	-120.81518
FR	ensemble	ssp245	2.2375931625402035	787	40.01362	-121.18498
IH	ensemble	ssp245	2.148416985757808	454.1298385	39.09332	-120.92114
LV1	ensemble	ssp245	4.022908175883066	2593.416641	40.47471	-121.50486
LV3	ensemble	ssp245	3.9774809958856294	2353.550747	40.47917	-121.52311
LVTR1	ensemble	ssp245	4.389498339119966	2741.38982	40.47917	-121.5032
SC	ensemble	ssp245	2.6301489747084505	421.5178299	38.41167	-120.73583000000001
SQ1	ensemble	ssp245	1.8456764133290153	1921.036585	36.56435	-118.7764
SQ2	ensemble	ssp245	2.1068639934517255	1934.45122	36.66557	-118.83543
SQ3	ensemble	ssp245	2.34701190808578	2373.170732	36.72109	-118.84933
TM2	ensemble	ssp245	2.5383722017345445	379.1526973	39.59255	-121.55072
WL1	ensemble	ssp245	1.9763026167199107	1613.837245	38.78608	-120.2143
WL2	ensemble	ssp245	1.9133737683869378	2020.115818	38.8263	-120.25242
WR	ensemble	ssp245	1.9503383379923118	1158	39.34346	-120.80659
YO11	ensemble	ssp245	2.467024597368532	2872.295032	37.93844	-119.23157
YO4	ensemble	ssp245	2.027330188350308	2157.57391	37.76378	-119.77244
YO7	ensemble	ssp245	2.048161012108482	2469.978665	37.80903	-119.56605
YO8	ensemble	ssp245	2.209691077998088	2590.97836	37.81117	-119.48624
BH	ensemble	ssp370	2.333433727656688	511.4294422	37.40985	-119.96458
CC	ensemble	ssp370	2.059345271106846	313	39.58597	-121.43311
CP2	ensemble	ssp370	2.0165987098790343	2244.132886	38.66169	-120.13065
CP3	ensemble	ssp370	2.2253905888251846	2266.382201	38.70649	-120.08797
DPR	ensemble	ssp370	1.5271471230481135	1018.591893	39.22846	-120.81518
FR	ensemble	ssp370	1.4003027735544056	787	40.01362	-121.18498
IH	ensemble	ssp370	1.9008832638000577	454.1298385	39.09332	-120.92114
LV1	ensemble	ssp370	3.0365946940855393	2593.416641	40.47471	-121.50486
LV3	ensemble	ssp370	3.002951195042122	2353.550747	40.47917	-121.52311
LVTR1	ensemble	ssp370	3.3767208528161246	2741.38982	40.47917	-121.5032
SC	ensemble	ssp370	2.394363051977282	421.5178299	38.41167	-120.73583000000001
SQ1	ensemble	ssp370	1.2502658811021399	1921.036585	36.56435	-118.7764
SQ2	ensemble	ssp370	1.6638835670546221	1934.45122	36.66557	-118.83543
SQ3	ensemble	ssp370	1.9164120805568603	2373.170732	36.72109	-118.84933
TM2	ensemble	ssp370	2.0918462602263537	379.1526973	39.59255	-121.55072
WL1	ensemble	ssp370	1.6707282353413644	1613.837245	38.78608	-120.2143
WL2	ensemble	ssp370	1.7139913655902275	2020.115818	38.8263	-120.25242
WR	ensemble	ssp370	1.6715860587058682	1158	39.34346	-120.80659
YO11	ensemble	ssp370	2.3483800120785707	2872.295032	37.93844	-119.23157
YO4	ensemble	ssp370	1.8806440627474692	2157.57391	37.76378	-119.77244
YO7	ensemble	ssp370	1.730286232473684	2469.978665	37.80903	-119.56605
YO8	ensemble	ssp370	1.8041968511444646	2590.97836	37.81117	-119.48624
